"table_number","order_id","item_name","quantity","item_price","time_ordered"
"Table 3","q4ecLnsnzTUAkjvuxHEh","Asparagus",1,"28","3-16-2023 | 00:13:52"
"Table 3","q4ecLnsnzTUAkjvuxHEh","Lemonade Juice",2,"58","3-16-2023 | 00:13:52"
"Table 3","q4ecLnsnzTUAkjvuxHEh","Tomatoes Caprese",5,"30","3-16-2023 | 00:15:11"
"Table 4","G9wpgxDKh4xNTBDwSFcu","Baked Potatoes",2,"32","3-16-2023 | 00:14:33"
"Table 4","G9wpgxDKh4xNTBDwSFcu","Coffee",1,"200","3-16-2023 | 00:14:33"
"Table 4","G9wpgxDKh4xNTBDwSFcu","Orange Juice",1,"90","3-16-2023 | 00:14:33"
"Table 4","G9wpgxDKh4xNTBDwSFcu","Chocolate Cake",1,"90","3-16-2023 | 00:14:33"
"Table 2","mnP922L2SKbAGLyiKSaC","Baked Potatoes",2,"32","3-16-2023 | 09:50:31"
"Table 2","mnP922L2SKbAGLyiKSaC","Chocolate Cake",1,"90","3-16-2023 | 09:50:31"
"Table 1","z6P0oAP88OIpoNxFa01X","Fried Chicken",2,"169","3-16-2023 | 14:26:55"
"Table 1","z6P0oAP88OIpoNxFa01X","Lemonade Juice",2,"58","3-16-2023 | 14:26:55"
"Table 3","klhGk6rznyl0kTJdqVZm","Beef Steak",2,"280","3-16-2023 | 14:38:44"
"Table 3","klhGk6rznyl0kTJdqVZm","Lemonade Juice",2,"58","3-16-2023 | 14:38:44"
"Table 1","kNipWpe7u1SUTFFzcMwq","Lemonade Juice",2,"58","3-16-2023 | 16:38:04"
"Table 1","kNipWpe7u1SUTFFzcMwq","Strawberry Cake",2,"56","3-16-2023 | 16:38:04"
"Table 2","Ia4RLAMXr7QVkO9URSJN","Baked Potatoes",1,"32","3-16-2023 | 17:04:59"
"Table 1","782v63NYdtQ2ve27EDH9","Pork Tonkatsu",2,"135","3-16-2023 | 17:29:38"
"Table 1","782v63NYdtQ2ve27EDH9","Lemonade Juice",2,"58","3-16-2023 | 17:29:38"
"Table 1","782v63NYdtQ2ve27EDH9","Baked Potatoes",2,"32","3-16-2023 | 17:32:07"
"Table 2","zvSOhxefJLnvRNru7cy2","Strawberry Smoothies",1,"140","3-16-2023 | 18:31:35"
"Table 2","zvSOhxefJLnvRNru7cy2","Asparagus",1,"28","3-16-2023 | 18:32:20"
"Table 3","57lRT8JxW9no3uEgzSad","Chocolate Cake",2,"90","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","Strawberry Cake",11,"56","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","Fried Chicken",1,"169","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","Pork Tonkatsu",1,"135","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","Asparagus",1,"28","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","French Fries",1,"60","3-16-2023 | 19:20:20"
"Table 3","57lRT8JxW9no3uEgzSad","Lemonade Juice",1,"58","3-16-2023 | 19:31:07"
"Table 3","57lRT8JxW9no3uEgzSad","Fried Chicken",1,"169","3-16-2023 | 19:31:07"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Asparagus",1,"28","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Pork Tonkatsu",1,"135","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Fried Chicken",1,"169","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Salmon Belly",1,"160","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Beef Steak",1,"280","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Lemonade Juice",1,"58","3-16-2023 | 22:22:24"
